episode,reward,cost_per_order
0,-182.454,0
1,-667.8460000000001,0
2,-285.9139999999999,0
3,-531.1139999999999,0
4,-1057.3889999999997,0
5,-957.8439999999998,0
6,-1212.1489999999997,0
7,-874.7279999999989,0
8,-922.8459999999982,0
9,-333.729,0
10,-354.0620000000003,0
11,-688.6800000000005,0
12,-1386.5609999999997,0
13,-724.5489999999995,0
14,-1101.2809999999965,0
15,-599.7909999999999,0
16,-283.2260000000001,0
17,-558.846,0
18,-291.062,0
19,-1589.5729999999965,0
20,-432.126,0
21,-404.0819999999992,0
22,12.313999999999957,0
23,-590.7720000000002,0
24,-605.4190000000004,0
25,-501.169,0
26,-616.7429999999999,0
27,-1266.7549999999978,0
28,-159.22300000000004,0
29,-293.4100000000001,0
30,-1408.025,0
31,-68.98099999999994,0
32,-1050.823,0
33,-406.05899999999986,0
34,-1089.8769999999986,0
35,-501.543,0
36,-926.3649999999994,0
37,-325.691,0
38,-235.06399999999996,0
39,-183.65700000000004,0
40,-245.2429999999998,0
41,-194.51700000000034,0
42,-277.6879999999996,0
43,16.94399999999998,0
44,-1457.401999999999,0
45,-504.9980000000003,0
46,-410.22100000000006,0
47,-273.04399999999987,0
48,-329.90700000000027,0
49,-512.8480000000003,0
50,-203.43600000000004,0
51,-490.3980000000001,0
52,-873.13,0
53,-1002.6629999999982,0
54,-482.3470000000004,0
55,-1166.4949999999972,0
56,-220.03300000000053,0
57,-1213.4469999999997,0
58,-954.8339999999996,0
59,-903.3779999999999,0
60,-26.81399999999985,0
61,-280.17900000000014,0
62,-80.02100000000021,0
63,-533.8970000000005,0
64,-843.3559999999991,0
65,-318.80999999999995,0
66,-431.5789999999999,0
67,-271.5000000000001,0
68,-523.6670000000001,0
69,-396.53200000000004,0
70,-150.74199999999985,0
71,-322.66500000000013,0
72,-357.6930000000002,0
73,-327.593,0
74,-1259.4329999999989,0
75,-13.68299999999995,0
76,-366.4439999999996,0
77,-539.3710000000003,0
78,-127.41399999999963,0
79,-758.096,0
80,-1352.4739999999986,0
81,-604.2559999999997,0
82,-1075.4810000000002,0
83,-1081.2859999999985,0
84,-387.65199999999993,0
85,-1153.501999999999,0
86,-898.1509999999998,0
87,-550.3630000000003,0
88,-1917.714999999997,0
89,-1274.6219999999998,0
90,-1061.2610000000002,0
91,-1246.3519999999962,0
92,-896.3009999999998,0
93,-634.9749999999988,0
94,-1372.9619999999957,0
95,-73.85499999999976,0
96,-1323.7719999999983,0
97,-877.5890000000004,0
98,-1152.259,0
99,-413.2950000000003,0
100,-460.90600000000046,0
101,-776.639999999999,0
102,-301.0700000000002,0
103,-482.8350000000008,0
104,-428.332,0
105,-23.470999999999506,0
106,-1153.6869999999979,0
107,206.56600000000117,0
108,-405.5909999999997,0
109,-566.3649999999992,0
110,-327.2770000000003,0
111,-650.717,0
112,-877.5819999999972,0
113,-1001.6479999999993,0
114,-607.4219999999992,0
115,274.8379999999998,0
116,-822.585,0
117,-295.9339999999995,0
118,-518.5590000000001,0
119,-595.6750000000001,0
120,-958.2030000000024,0
121,-902.3639999999995,0
122,-465.08099999999996,0
123,-310.45399999999995,0
124,-1183.2639999999963,0
125,-471.5370000000004,0
126,-937.9909999999985,0
127,-595.0239999999991,0
128,-759.3269999999978,0
129,-574.6909999999997,0
130,-707.6439999999982,0
131,-713.6739999999986,0
132,-1022.5020000000005,0
133,-258.0249999999996,0
134,-933.1909999999988,0
135,-1435.0749999999996,0
136,-178.32199999999904,0
137,-629.2690000000005,0
138,-197.46699999999927,0
139,221.51700000000042,0
140,-264.98999999999995,0
141,-585.1429999999998,0
142,-1127.6070000000002,0
143,-568.1379999999994,0
144,265.4760000000005,0
145,-445.4729999999996,0
146,-315.79400000000015,0
147,62.13500000000076,0
148,-875.0409999999993,0
149,-369.1589999999995,0
150,-193.89299999999955,0
151,-80.08800000000005,0
152,-187.09,0
153,-209.61900000000003,0
154,-510.84000000000003,0
155,-396.88999999999913,0
156,210.6860000000007,0
157,-603.3830000000004,0
158,-722.1930000000011,0
159,-565.3029999999998,0
160,-1002.234,0
161,-1050.5519999999983,0
162,278.993000000001,0
163,-735.161,0
164,-725.4210000000011,0
165,-228.22699999999972,0
166,-999.3190000000025,0
167,18.34100000000019,0
168,-610.4280000000003,0
169,-700.1400000000006,0
170,-789.6689999999995,0
171,-721.1120000000005,0
172,-800.691000000002,0
173,-228.8240000000001,0
174,-1039.2980000000014,0
175,-558.4720000000004,0
176,-624.3410000000001,0
177,-675.2020000000001,0
178,-522.487999999999,0
179,-632.0100000000012,0
180,-827.6179999999993,0
181,-544.4920000000001,0
182,-304.5929999999996,0
183,-730.5590000000002,0
184,-621.4519999999999,0
185,-843.1960000000021,0
186,-748.1400000000007,0
187,-661.955999999999,0
188,-746.742,0
189,-927.3680000000036,0
190,-960.3360000000001,0
191,-1170.331,0
192,-1042.9180000000013,0
193,-1019.4250000000008,0
194,-841.1590000000018,0
195,-725.6409999999997,0
196,-1453.598999999993,0
197,-1194.666999999999,0
198,-810.5290000000018,0
199,-1309.7249999999983,0
200,-1417.2369999999953,0
201,-1494.280999999995,0
202,-902.2280000000019,0
203,-1240.636999999997,0
204,-1065.4440000000016,0
205,-756.7890000000012,0
206,-995.547,0
207,-900.4549999999995,0
208,-1501.544999999996,0
209,-1085.5020000000015,0
210,-1008.4989999999993,0
211,-1198.024999999998,0
212,-1421.3689999999956,0
213,-1059.8909999999983,0
214,-673.6069999999994,0
215,-1237.005999999995,0
216,-1215.686999999997,0
217,-1170.5019999999975,0
218,-848.7520000000006,0
219,-1163.4559999999972,0
220,-1638.3839999999975,0
221,-1219.051999999997,0
222,-1301.2549999999965,0
223,-858.7489999999975,0
224,-1112.9169999999995,0
225,-1273.1849999999974,0
226,-1461.805999999995,0
227,-534.9820000000001,0
228,-1150.441999999997,0
229,-1545.640999999997,0
230,-1352.5789999999965,0
231,-1151.2959999999973,0
232,-836.9670000000001,0
