episode,reward,cost_per_order
0,-221.62300000000008,0
1,-396.0370000000001,0
2,130.67400000000004,0
3,-160.40200000000004,0
4,-481.912,0
5,-0.05100000000015825,0
6,-651.6329999999998,0
7,-114.98999999999995,0
8,92.22399999999986,0
9,-536.176,0
10,-1080.7769999999998,0
11,-489.081,0
12,-559.2710000000004,0
13,-243.9530000000001,0
14,-259.293,0
15,-752.585999999999,0
16,-139.33399999999986,0
17,-248.54699999999997,0
18,-1046.0569999999993,0
19,-346.0149999999999,0
20,-1228.0829999999983,0
21,-1064.4949999999974,0
22,-925.1069999999979,0
23,-776.8849999999992,0
24,-1035.2459999999999,0
25,-916.2569999999998,0
26,-348.6949999999996,0
27,-574.8820000000001,0
28,-1599.3889999999983,0
29,-369.77300000000014,0
30,-901.8800000000003,0
31,-697.4999999999994,0
32,-1115.090999999998,0
33,-706.3540000000011,0
34,-559.0980000000008,0
35,-403.77199999999993,0
36,-1082.3639999999978,0
37,-175.95299999999946,0
38,-791.0760000000001,0
39,-362.47900000000027,0
40,-1301.7059999999983,0
41,-1147.0389999999966,0
42,-1178.6059999999986,0
43,-244.40999999999985,0
44,-620.1269999999996,0
45,-1194.677999999999,0
46,-966.1209999999999,0
47,-616.4589999999998,0
48,-574.348,0
49,-166.55199999999988,0
50,-1343.8269999999977,0
51,-612.8130000000006,0
52,-685.6669999999999,0
53,-390.99300000000034,0
54,-1081.834999999997,0
55,-220.824,0
56,-467.4500000000003,0
57,-243.4559999999999,0
58,-183.89899999999972,0
59,-760.4830000000006,0
60,-276.25400000000013,0
61,-537.0210000000019,0
62,-680.1939999999993,0
63,-744.1509999999989,0
64,-1218.6309999999971,0
65,-905.6579999999983,0
66,-632.6900000000005,0
67,-602.0770000000006,0
68,-882.8549999999982,0
69,-409.7030000000002,0
70,-775.8459999999982,0
71,-340.9500000000004,0
72,-265.09799999999996,0
73,-681.932,0
74,-1267.6389999999972,0
75,-205.5010000000007,0
76,-154.3139999999999,0
77,-880.6480000000007,0
78,-636.1350000000007,0
79,-1141.6869999999972,0
80,-768.4589999999994,0
81,-895.611999999999,0
82,-271.731,0
83,-239.87800000000004,0
84,-706.8149999999989,0
85,-1351.2229999999975,0
86,-375.7279999999999,0
87,-1656.1539999999948,0
88,-193.44400000000007,0
89,-216.64799999999948,0
90,-1248.8139999999978,0
91,-556.5540000000001,0
92,-424.3169999999998,0
93,-566.2080000000002,0
94,-384.31499999999994,0
95,-1109.3979999999988,0
96,-1152.9089999999967,0
97,-795.0990000000008,0
98,-242.80199999999996,0
99,-1037.3699999999967,0
100,-1012.1789999999991,0
101,-1332.5289999999977,0
102,-1282.9559999999947,0
103,-644.2450000000003,0
104,-568.8800000000001,0
105,-894.603999999998,0
106,-1458.7459999999974,0
107,-1076.7840000000003,0
108,-1492.9029999999975,0
109,-638.4769999999999,0
110,-1294.2929999999983,0
111,-1139.016999999998,0
112,-444.95000000000005,0
113,-1152.0069999999973,0
114,-727.8259999999993,0
115,-1051.0059999999949,0
116,-1110.9999999999977,0
117,-993.4859999999996,0
118,-860.3229999999991,0
119,-1441.7209999999966,0
120,-1110.7929999999974,0
121,-1051.5369999999969,0
122,-906.7639999999981,0
123,-476.6359999999996,0
124,-1025.5069999999964,0
125,-949.3570000000001,0
126,-1080.2839999999976,0
127,-1078.5159999999971,0
128,-1210.2029999999993,0
129,-1271.2849999999971,0
130,-1401.7639999999938,0
131,-1516.0299999999966,0
132,-1196.8400000000001,0
133,-1510.2189999999912,0
134,-1094.5219999999983,0
135,-1304.3879999999954,0
136,-1388.0349999999953,0
137,-1212.3789999999974,0
138,-1297.5049999999958,0
139,-1506.7589999999982,0
140,-865.8429999999964,0
141,-1157.2329999999988,0
142,-1197.8309999999985,0
143,-1234.6729999999989,0
144,-1513.9659999999953,0
145,-1159.9699999999991,0
146,-1135.4619999999968,0
147,-1029.961000000001,0
148,-946.3639999999996,0
149,-1166.6779999999976,0
150,-869.6920000000014,0
