episode,epsilon,loss,assign,charge,noop,cost_per_order,success_rate,ontime_rate,energy_per_order,n_delivered,n_dropped,depletion_events,episode_return
0,0.9107167220751963,4.521392087885403,133,52,65,3.057590163934444,0.8472222222222222,0.8934426229508197,0.2657868852459193,122.0,22.0,0.0,1391.324000000002
1,0.8109471507999602,4.316320068877319,123,59,50,3.006530973451346,0.849624060150376,0.9203539823008849,0.2870619469026737,113.0,20.0,0.0,1309.7620000000013
2,0.7239153763467987,4.122892806183399,130,48,49,3.1179075630252284,0.8439716312056738,0.8907563025210085,0.2658067226890937,119.0,22.0,0.0,1348.4790000000003
3,0.6475180164114541,3.9413634586761885,124,56,43,2.398008695652192,0.8778625954198473,0.9478260869565217,0.28235652173914905,115.0,16.0,0.0,1418.7990000000007
4,0.5803429568090673,3.811828159306147,131,54,34,5.029208695652193,0.7615894039735099,0.9130434782608695,0.2805130434782797,115.0,36.0,0.0,1096.3010000000004
5,0.523529549652583,3.932148598930211,123,51,32,1.0206324786324976,0.9590163934426229,0.8974358974358975,0.2736239316239506,117.0,5.0,0.0,1575.2660000000003
6,0.4736972794441025,4.0694701755046845,128,47,25,4.652044247787631,0.7793103448275862,0.8584070796460177,0.28301769911506486,113.0,32.0,0.0,1089.0690000000006
7,0.42925186025329076,4.214060713191928,129,46,22,4.844338983050866,0.7712418300653595,0.847457627118644,0.27145762711866284,118.0,35.0,0.0,1108.1480000000004
8,0.39210168276141727,4.477932955020041,121,42,18,2.439902654867274,0.875968992248062,0.9203539823008849,0.2593716814159467,113.0,16.0,0.0,1374.1110000000015
9,0.356201717634177,4.613163116077582,130,45,17,2.520405172413812,0.8721804511278195,0.9396551724137931,0.27643965517243274,116.0,17.0,0.0,1412.463
10,0.3239125056489256,4.786412008185136,126,42,22,3.7903245614035264,0.8142857142857143,0.9122807017543859,0.2692719298245789,114.0,26.0,0.0,1227.6830000000007
11,0.2957311242361041,4.878616634306017,122,42,18,1.1306814159292236,0.9495798319327731,0.9380530973451328,0.27050442477878117,113.0,6.0,0.0,1532.0530000000006
12,0.2686546348613427,5.17992998038729,129,41,22,4.003245614035106,0.8085106382978723,0.8596491228070176,0.2874561403508953,114.0,27.0,0.0,1173.4099999999992
13,0.2446682684312303,5.896872149431769,126,42,19,0.8369576271186631,0.9672131147540983,0.9322033898305084,0.26322881355934097,118.0,4.0,0.0,1631.049
14,0.2240526971476995,5.846987634897232,126,41,9,5.029413793103466,0.7631578947368421,0.8879310344827587,0.2811379310345008,116.0,36.0,0.0,1091.4979999999998
15,0.20343715697679116,5.419144772495013,129,43,21,1.1806910569105873,0.9461538461538461,0.9349593495934959,0.25955284552847363,123.0,7.0,0.0,1659.5650000000005
16,0.18583041559733554,5.738612585963465,119,40,22,3.4461401869159056,0.8294573643410853,0.8878504672897196,0.27324299065422314,107.0,22.0,0.0,1176.043
17,0.16906967039743875,5.588529210872751,124,42,23,2.781327433628336,0.8625954198473282,0.8938053097345132,0.27247787610621205,113.0,18.0,0.0,1320.4800000000007
18,0.15397457602668896,5.913847219497762,126,40,21,2.92894067796612,0.855072463768116,0.864406779661017,0.2721610169491711,118.0,20.0,0.0,1344.1750000000002
19,0.14156606393302087,5.676903176875341,124,40,4,4.941455357142877,0.7671232876712328,0.8660714285714286,0.28520535714287676,112.0,34.0,0.0,1051.5169999999998
20,0.12905560504331048,5.874809994568696,127,40,18,1.8607068965517426,0.90625,0.9224137931034483,0.27277586206898397,116.0,12.0,0.0,1478.978000000001
21,0.1171809387530969,5.8264725072396235,131,42,20,1.7493529411764888,0.9153846153846154,0.8907563025210085,0.27204201680674084,119.0,11.0,0.0,1511.627
22,0.10746847976445004,5.912734537455388,121,41,11,1.842410714285734,0.9105691056910569,0.9285714285714286,0.2852678571428769,112.0,11.0,0.0,1433.540000000001
23,0.09831487475152571,5.874336009614923,129,40,9,2.188198275862087,0.8923076923076924,0.8706896551724138,0.28216379310346607,116.0,14.0,0.0,1411.0790000000004
