episode,reward,cost_per_order
0,-404.19800000000004,0
1,-168.50699999999986,0
2,-75.08100000000009,0
3,-139.48299999999998,0
4,-121.1050000000001,0
5,99.19000000000014,0
6,-167.52600000000004,0
7,44.117999999999846,0
8,-297.326,0
9,-249.64399999999983,0
10,-700.6600000000002,0
11,-105.118,0
12,-62.217,0
13,63.33399999999999,0
14,-78.10200000000002,0
15,-18.026000000000067,0
16,-80.04000000000013,0
17,-48.02099999999997,0
18,-48.001000000000005,0
19,-38.52100000000007,0
20,-168.67899999999997,0
21,-210.90300000000002,0
22,-1180.277,0
23,-54.634999999999955,0
24,-18.01799999999998,0
25,-53.52500000000003,0
26,-93.93099999999988,0
27,12.009000000000043,0
28,-505.15700000000066,0
29,-514.1400000000004,0
30,-33.08500000000012,0
31,-93.019,0
32,-1201.6449999999995,0
33,-639.795000000001,0
34,-836.1939999999994,0
35,-395.7120000000001,0
36,-108.67700000000005,0
37,-1432.9279999999953,0
38,-63.07500000000003,0
39,-739.9569999999999,0
40,-484.8370000000002,0
41,-546.3890000000007,0
42,-387.13500000000016,0
43,-761.3339999999994,0
44,-896.887999999999,0
45,-570.2250000000006,0
46,-411.992,0
47,-1295.1959999999958,0
48,-866.3749999999984,0
49,-395.30200000000093,0
50,-892.8419999999975,0
51,-653.3800000000007,0
52,-1412.4700000000016,0
53,-1204.2719999999943,0
54,-696.5109999999988,0
55,-1731.3549999999902,0
56,-1208.339999999995,0
57,-859.7609999999975,0
58,-1273.131999999995,0
59,-1368.6489999999942,0
60,-882.5579999999959,0
61,-809.2059999999992,0
62,-1472.5379999999952,0
63,-957.3870000000015,0
64,-890.0230000000009,0
65,-1434.9549999999942,0
66,-1136.3749999999998,0
67,-367.40299999999974,0
68,-1123.0670000000002,0
69,-1280.4269999999947,0
70,-964.8849999999978,0
71,-1147.7199999999968,0
72,-886.8329999999988,0
73,-1703.2079999999937,0
74,-655.913000000001,0
75,-446.4799999999998,0
76,-884.1479999999997,0
77,-585.4190000000012,0
78,-1071.509999999997,0
79,-707.3359999999993,0
80,-1028.2409999999973,0
81,-657.537,0
82,-1160.6869999999944,0
83,-494.84300000000036,0
84,-1242.750999999993,0
85,-1314.145999999998,0
86,-1051.1259999999972,0
87,-1135.4609999999977,0
88,-748.4939999999997,0
89,-933.1769999999983,0
90,-743.0229999999999,0
91,-872.7369999999985,0
92,-765.7899999999988,0
93,-895.6619999999986,0
94,-1111.9899999999989,0
95,-1327.537999999998,0
96,-547.0580000000003,0
97,-191.4430000000001,0
98,-338.5530000000001,0
99,-710.3489999999989,0
100,-630.0780000000002,0
101,-594.82,0
102,-1138.936,0
103,-702.514,0
104,-272.55200000000025,0
105,-305.0189999999999,0
106,-541.5490000000002,0
107,-704.9630000000001,0
108,-310.31100000000004,0
109,-476.5799999999998,0
110,-381.664,0
111,-1097.368,0
112,-360.151,0
113,-228.8399999999997,0
114,-866.7079999999999,0
115,-69.18899999999984,0
116,-396.9389999999999,0
117,-1261.2829999999985,0
