episode,epsilon,loss,assign,charge,noop,cost_per_order,success_rate,ontime_rate,energy_per_order,n_delivered,n_dropped,depletion_events,episode_return
26,0.0785801652425933,5.526840563478141,129,43,2,4.743770642201855,0.7785714285714286,0.8256880733944955,0.296064220183506,109.0,31.0,0.0,1022.9089999999997
27,0.07213922517606466,5.197979458591394,127,40,4,2.4809831932773303,0.875,0.8739495798319328,0.2683781512605235,119.0,17.0,0.0,1414.7230000000013
28,0.06576414639074414,5.504936626795176,143,40,2,5.821650406504081,0.7365269461077845,0.7723577235772358,0.27205691056912124,123.0,44.0,0.0,988.9170000000004
29,0.06049458882855758,5.753228802880841,123,41,3,1.2820884955752394,0.9416666666666667,0.9203539823008849,0.2732389380531155,113.0,7.0,0.0,1505.0939999999996
30,0.055203758379951465,5.337676457368611,134,43,6,2.7122520325203427,0.8661971830985915,0.8536585365853658,0.2642845528455456,123.0,19.0,0.0,1421.333000000001
31,0.05075499468694533,5.387800824074518,126,42,0,2.528203539823028,0.875968992248062,0.8761061946902655,0.2813008849557713,113.0,16.0,0.0,1339.313
32,0.05,5.698054056057985,129,42,3,4.867118181818202,0.7746478873239436,0.7545454545454545,0.28802727272729256,110.0,32.0,0.0,979.5869999999999
33,0.05,6.088553653366264,126,43,5,0.843355932203407,0.9672131147540983,0.923728813559322,0.26454237288137306,118.0,4.0,0.0,1625.434
34,0.05,5.591443707303303,121,41,2,2.651745283018888,0.8688524590163934,0.8679245283018868,0.29891509433964286,106.0,16.0,0.0,1238.8950000000002
35,0.05,6.02139475806193,129,46,1,3.373419642857162,0.835820895522388,0.875,0.2877053571428764,112.0,22.0,0.0,1232.1670000000004
36,0.05,6.478841504785749,136,44,0,6.258526315789492,0.7215189873417721,0.7982456140350878,0.2830877192982645,114.0,44.0,0.0,881.5280000000004
37,0.05,6.097213273857072,130,41,0,2.4591896551724317,0.8787878787878788,0.8362068965517241,0.282465517241397,116.0,16.0,0.0,1359.7340000000006
