episode,reward,cost_per_order
0,-607.469,0
1,-55.88899999999981,0
2,-345.94699999999995,0
3,-566.1990000000001,0
4,-878.5030000000003,0
5,-1339.896999999999,0
6,-1723.3469999999966,0
7,-156.072,0
8,-529.7400000000006,0
9,-829.9970000000005,0
10,-816.0220000000003,0
11,-171.10700000000003,0
12,-154.04500000000007,0
13,-914.757999999999,0
14,-24.684999999999974,0
15,-1635.356999999996,0
16,-1053.5709999999983,0
17,-237.37300000000002,0
18,-243.91699999999997,0
19,-1178.1889999999976,0
20,-631.7420000000008,0
21,-1351.400999999997,0
22,-847.5049999999999,0
23,-645.3990000000014,0
24,-1021.6299999999993,0
25,-1325.544999999994,0
26,-19.60000000000005,0
27,-300.60099999999983,0
28,-1014.2860000000001,0
29,-496.14800000000014,0
30,-403.39300000000003,0
31,-168.69699999999963,0
32,-830.0189999999994,0
33,-781.5010000000001,0
34,-319.216,0
35,-311.01099999999985,0
36,-744.6739999999992,0
37,-1124.3029999999976,0
38,-671.7849999999999,0
39,-998.7809999999982,0
40,-614.8090000000008,0
41,-798.8159999999989,0
42,-1810.5209999999963,0
43,-142.15299999999996,0
44,-843.2759999999996,0
45,-1203.847999999999,0
46,-1377.2139999999981,0
47,-555.813,0
48,-555.3720000000009,0
49,-397.0390000000001,0
50,-1030.473,0
51,-191.0450000000001,0
52,-800.5089999999999,0
53,-248.39300000000003,0
54,-1092.4289999999999,0
55,-1705.3639999999982,0
56,-160.86200000000017,0
57,-332.679,0
58,-1240.750999999999,0
59,-413.18100000000004,0
60,-1253.631999999997,0
61,-816.9689999999987,0
62,-400.53300000000036,0
63,-1131.4909999999973,0
64,-1006.6220000000002,0
65,-1442.3139999999962,0
66,-1131.2169999999983,0
67,-1219.865999999997,0
68,-1386.8329999999978,0
69,-469.367,0
70,-1343.1049999999977,0
71,-1188.5779999999968,0
72,-1467.7659999999978,0
73,-1236.3209999999983,0
74,-1008.3230000000002,0
75,-431.6519999999997,0
76,-1239.7079999999985,0
77,-1192.294999999998,0
78,-509.4789999999999,0
