episode,epsilon,loss,assign,charge,noop,cost_per_order,success_rate,ontime_rate,energy_per_order,n_delivered,n_dropped,depletion_events,episode_return
0,0.9184927597143733,4.923818746735068,134,56,43,5.534254237288154,0.7468354430379747,0.847457627118644,0.2766271186440859,118.0,40.0,0.0,1026.5279999999996
1,0.8236179445087961,3.672318781187775,115,59,44,1.0556190476190659,0.9545454545454546,0.9523809523809523,0.28514285714287546,105.0,5.0,0.0,1438.7200000000005
2,0.7268175639642518,3.6759368019104004,132,56,62,3.1057631578947564,0.8444444444444444,0.9035087719298246,0.28032456140352824,114.0,21.0,0.0,1300.3230000000005
3,0.6520676852970176,4.0044698583365586,129,48,40,3.14608620689657,0.8467153284671532,0.8448275862068966,0.2797068965517427,116.0,21.0,0.0,1284.6540000000007
4,0.5858838779371551,4.0020269890811955,129,53,32,2.996439655172433,0.8529411764705882,0.8448275862068966,0.27833620689657057,116.0,20.0,0.0,1302.0930000000003
5,0.5285280353045808,3.9339350878613666,125,47,34,4.768447368421072,0.7755102040816326,0.8245614035087719,0.28072807017545803,114.0,33.0,0.0,1066.0569999999996
6,0.47869856207627054,4.128221025370588,114,51,33,1.2960283018868115,0.9380530973451328,0.9622641509433962,0.28848113207549075,106.0,7.0,0.0,1432.2910000000008
7,0.43356699744760513,4.193336460325453,129,46,23,1.4880084033613628,0.9296875,0.8991596638655462,0.2670000000000183,119.0,9.0,0.0,1547.6970000000008
8,0.3909268471145568,4.389392508400811,135,42,30,2.2981190476190645,0.8873239436619719,0.8650793650793651,0.2568492063492234,126.0,16.0,0.0,1515.1370000000024
9,0.3531860836684566,4.816637450251086,134,42,27,4.233875000000018,0.7947019867549668,0.9,0.26804166666668483,120.0,31.0,0.0,1231.6649999999986
10,0.3192485039689313,5.066015995375,128,45,29,1.7202711864406959,0.9147286821705426,0.8983050847457628,0.26349152542374693,118.0,11.0,0.0,1506.7180000000005
11,0.2890052706608178,5.1185299092201735,137,38,24,3.4622880000000174,0.8278145695364238,0.88,0.2534880000000172,125.0,26.0,0.0,1366.9740000000002
12,0.2626759235644717,5.2837335813732045,136,41,14,3.041983193277329,0.85,0.8487394957983193,0.26467226890758105,119.0,21.0,0.0,1332.8640000000005
13,0.24090421596362763,5.433900272226058,122,41,10,2.0385585585585777,0.9024390243902439,0.8918918918918919,0.28540540540542464,111.0,12.0,0.0,1378.6200000000006
14,0.21721193300614625,5.793858404896685,125,46,36,3.1720344827586384,0.8405797101449275,0.896551724137931,0.2703103448276042,116.0,22.0,0.0,1311.6839999999995
15,0.19871095259598395,5.966535574934456,115,39,24,1.8955471698113384,0.905982905982906,0.9433962264150944,0.28045283018869677,106.0,11.0,0.0,1358.8320000000015
16,0.18142249028486188,5.8477665814724595,131,41,10,2.7613109243697647,0.8623188405797102,0.9159663865546218,0.2772773109243867,119.0,19.0,0.0,1406.304
17,0.16563817721754506,6.17733877831763,130,42,10,3.896924369747917,0.8095238095238095,0.8907563025210085,0.2708739495798501,119.0,28.0,0.0,1256.166
18,0.15100042047644407,5.955019962465441,125,41,19,2.7534649122807204,0.8636363636363636,0.8771929824561403,0.2780263157894925,114.0,18.0,0.0,1325.9149999999993
19,0.13786292078522988,5.767153354791494,129,40,13,1.7267355371901003,0.9166666666666666,0.8842975206611571,0.26723140495869535,121.0,11.0,0.0,1535.9350000000009
20,0.12618356747658413,6.008102699861688,128,41,8,2.769647058823548,0.8623188405797102,0.8823529411764706,0.26964705882354784,119.0,19.0,0.0,1385.3320000000017
21,0.11566706952602586,6.367922337575891,119,40,15,2.0042037037037237,0.9,0.9444444444444444,0.2893888888889089,108.0,12.0,0.0,1373.3960000000006
22,0.10502430936905649,5.747741422504959,123,41,29,1.954669642857162,0.9032258064516129,0.8839285714285714,0.2814553571428763,112.0,12.0,0.0,1395.7870000000014
23,0.09646406774948073,6.043551799830269,123,42,5,1.269530434782627,0.9426229508196722,0.8956521739130435,0.2834434782608879,115.0,7.0,0.0,1518.9539999999993
24,0.08829190715388109,6.159621400348211,130,42,5,2.1327916666666833,0.8955223880597015,0.9083333333333333,0.2752916666666833,120.0,14.0,0.0,1489.0149999999996
25,0.08085249493520462,5.890065124089068,128,38,10,3.774843478260888,0.8156028368794326,0.8782608695652174,0.2704956521739314,115.0,26.0,0.0,1220.793
26,0.074299580993325,6.320128110738901,125,41,3,2.52780172413795,0.8721804511278195,0.9137931034482759,0.27521551724139826,116.0,17.0,0.0,1396.7450000000001
27,0.06851721691865771,6.080287288736414,119,38,5,1.538126126126143,0.925,0.918918918918919,0.2678558558558728,111.0,9.0,0.0,1449.2180000000005
28,0.06236857531027607,6.079501313097934,131,43,14,3.7844745762712058,0.8137931034482758,0.8983050847457628,0.26837288135595105,118.0,27.0,0.0,1263.292000000002
29,0.0571992001855579,6.1012426359805065,127,46,0,3.1319826086956706,0.8455882352941176,0.8782608695652174,0.2824173913043662,115.0,21.0,0.0,1294.822000000001
30,0.05243205590873581,6.147856182065503,125,40,9,5.7523944954128625,0.7364864864864865,0.8623853211009175,0.28175229357799997,109.0,39.0,0.0,932.8989999999995
31,0.05,6.433367944656209,139,45,3,5.633873949579851,0.7391304347826086,0.907563025210084,0.26664705882354756,119.0,42.0,0.0,1059.539
32,0.05,6.224027155512604,136,44,1,2.7031440000000186,0.8620689655172413,0.96,0.2583440000000182,125.0,20.0,0.0,1512.097000000001
33,0.05,6.087909020807432,140,44,0,6.211245614035106,0.7215189873417721,0.8596491228070176,0.2814210526315981,114.0,44.0,0.0,921.9180000000001
34,0.05,6.660672023732175,138,45,3,2.9629921875000163,0.8533333333333334,0.84375,0.2551796875000162,128.0,22.0,0.0,1440.7070000000003
35,0.05,6.6682472690459225,137,47,2,3.7664344262295244,0.8133333333333334,0.9426229508196722,0.27053278688526233,122.0,28.0,0.0,1335.4750000000013
