episode,epsilon,loss,assign,charge,noop,cost_per_order,success_rate,ontime_rate,energy_per_order,n_delivered,n_dropped,depletion_events,episode_return
14,0.22540139257172281,5.410602782549483,125,40,13,3.2735625000000197,0.8421052631578947,0.7946428571428571,0.28516964285716273,112.0,21.0,0.0,1198.2310000000002
15,0.20609977523842765,5.87660298400751,127,43,9,2.448817391304366,0.8778625954198473,0.8956521739130435,0.28446956521740957,115.0,16.0,0.0,1383.296
16,0.1887339572874918,5.692066390406001,125,43,8,1.9051043478261058,0.905511811023622,0.9391304347826087,0.2764086956521928,115.0,12.0,0.0,1470.8330000000008
17,0.17171133072501205,5.82934093223047,133,42,14,4.453966942148779,0.7857142857142857,0.8677685950413223,0.2663636363636543,121.0,33.0,0.0,1195.9299999999998
18,0.15653687800483795,5.70156898756285,125,41,19,2.438368421052651,0.8769230769230769,0.9473684210526315,0.28047368421054575,114.0,16.0,0.0,1401.836000000001
19,0.1427748075685445,5.917007065337637,128,41,15,2.685172131147559,0.8652482269503546,0.9262295081967213,0.262221311475428,122.0,19.0,0.0,1457.2590000000007
20,0.12847601496699299,6.007361703574375,132,41,38,3.406398305084763,0.8309859154929577,0.923728813559322,0.2623305084745936,118.0,24.0,0.0,1322.664999999999
21,0.11765071889669187,6.354896031997421,122,43,11,2.7562105263158077,0.8636363636363636,0.8596491228070176,0.27463157894738677,114.0,18.0,0.0,1315.681999999999
22,0.10795329916365388,6.085153797338175,125,38,9,3.4192844827586377,0.8345323741007195,0.8189655172413793,0.26238793103450003,116.0,23.0,0.0,1238.2730000000006
23,0.09782440494667557,6.192783762355746,126,42,29,4.310035087719319,0.7916666666666666,0.8771929824561403,0.28021052631580984,114.0,30.0,0.0,1148.3660000000004
24,0.09012103303734469,6.1800215200680055,123,38,3,3.2646785714285906,0.8421052631578947,0.8482142857142857,0.2798571428571623,112.0,21.0,0.0,1229.3259999999989
25,0.08261008943198732,6.197453505691441,122,40,12,1.5322920353982485,0.9262295081967213,0.9380530973451328,0.2738849557522307,113.0,9.0,0.0,1486.731000000001
26,0.07561159835230032,6.259796418712638,130,40,7,2.058206896551742,0.8992248062015504,0.8879310344827587,0.28062068965519044,116.0,13.0,0.0,1436.1780000000003
27,0.06924061977919753,6.480483172969385,127,42,7,1.6712068965517428,0.9206349206349206,0.8793103448275862,0.27379310344829455,116.0,10.0,0.0,1476.0700000000008
28,0.06268127747266475,6.081121345261233,146,40,13,3.170256000000016,0.8445945945945946,0.856,0.2638560000000161,125.0,23.0,0.0,1388.5879999999997
29,0.057342412933519445,6.203002841285105,127,41,10,2.3017288135593406,0.8872180451127819,0.8728813559322034,0.2712203389830694,118.0,15.0,0.0,1423.296
30,0.052353447142360635,6.085186854823605,126,37,19,4.21482608695654,0.7986111111111112,0.8347826086956521,0.267000000000018,115.0,29.0,0.0,1145.1049999999998
31,0.05,6.425221294011825,140,40,15,2.482157480314977,0.8758620689655172,0.8818897637795275,0.2569606299212763,127.0,18.0,0.0,1514.6160000000007
32,0.05,6.541161145676266,126,38,12,1.9667522123893983,0.904,0.8849557522123894,0.272946902654885,113.0,12.0,0.0,1407.6370000000004
33,0.05,6.401910524368287,123,42,10,2.8129909090909284,0.859375,0.9,0.295718181818201,110.0,18.0,0.0,1285.4710000000007
34,0.05,6.464205756292238,136,41,5,3.9140940170940355,0.8125,0.7863247863247863,0.27563247863249707,117.0,27.0,0.0,1172.0010000000004
35,0.05,6.853390783974619,136,44,18,3.331380165289273,0.8344827586206897,0.8925619834710744,0.2735289256198512,121.0,24.0,0.0,1346.7230000000004
36,0.05,6.4802166826423555,126,41,7,1.9058157894737024,0.9047619047619048,0.956140350877193,0.2724824561403693,114.0,12.0,0.0,1467.6670000000004
37,0.05,6.506184068029326,127,41,5,2.7736068376068554,0.8602941176470589,0.9316239316239316,0.26847863247865056,117.0,19.0,0.0,1390.4380000000017
38,0.05,6.2916693169137705,131,41,12,5.556018867924548,0.7464788732394366,0.8113207547169812,0.3041320754717185,106.0,36.0,0.0,900.9419999999998
39,0.05,6.890432647911899,124,38,4,4.125623853211028,0.8014705882352942,0.8807339449541285,0.2834220183486429,109.0,27.0,0.0,1120.2669999999994
40,0.05,6.840244885148673,127,44,3,2.91307894736844,0.8571428571428571,0.8596491228070176,0.2797456140351069,114.0,19.0,0.0,1297.879
41,0.05,7.174888910872213,132,45,1,2.525618644067815,0.8740740740740741,0.8983050847457628,0.27222881355934064,118.0,17.0,0.0,1411.9670000000003
42,0.05,7.039263423099074,131,41,0,5.596176991150462,0.743421052631579,0.8672566371681416,0.2837876106194884,113.0,39.0,0.0,987.6319999999997
43,0.05,6.886939987059562,137,44,5,4.258058823529429,0.7933333333333333,0.907563025210084,0.27654621848741195,119.0,31.0,0.0,1223.2410000000011
44,0.05,7.195874694896781,133,45,6,3.864433628318603,0.8129496402877698,0.831858407079646,0.2865575221239126,113.0,26.0,0.0,1163.259
45,0.05,7.056639965160473,137,42,6,3.6644396551724316,0.8226950354609929,0.8017241379310345,0.27995689655174233,116.0,25.0,0.0,1199.8650000000002
46,0.05,7.31712428284757,130,41,8,4.571166666666686,0.7808219178082192,0.8596491228070176,0.2790614035087911,114.0,32.0,0.0,1108.8069999999998
47,0.05,7.652968493374911,128,44,4,4.890289473684229,0.7702702702702703,0.8596491228070176,0.28590350877194814,114.0,34.0,0.0,1072.4670000000003
48,0.05,6.995314810302231,126,43,13,2.2859401709401883,0.8863636363636364,0.8803418803418803,0.26628205128206883,117.0,15.0,0.0,1417.4150000000002
49,0.05,7.3263016014956355,126,40,12,3.375201754385983,0.8321167883211679,0.9122807017543859,0.2725701754386145,114.0,23.0,0.0,1275.1070000000007
