episode,reward,cost_per_order
0,-34.35199999999992,0
1,-756.3299999999999,0
2,-809.5720000000001,0
3,-353.34200000000004,0
4,-160.09299999999996,0
5,-927.6220000000002,0
6,-1336.0579999999975,0
7,-736.0139999999996,0
8,-371.076,0
9,-243.24399999999997,0
10,-860.5070000000003,0
11,-296.90699999999975,0
12,-78.45999999999998,0
13,-287.9009999999999,0
14,-138.98499999999984,0
15,-234.6529999999999,0
16,-108.819,0
17,-296.06299999999993,0
18,-923.7079999999995,0
19,-620.7740000000003,0
20,-1084.0439999999976,0
21,-94.40800000000024,0
22,-852.1229999999998,0
23,-514.5740000000003,0
24,-179.91300000000012,0
25,-908.1649999999987,0
26,-496.2870000000006,0
27,-1193.385999999998,0
28,-611.2890000000002,0
29,-244.73700000000002,0
30,-340.7880000000001,0
31,-1372.3199999999995,0
32,-198.83000000000004,0
33,-465.6190000000007,0
34,-358.2989999999997,0
35,-112.29799999999999,0
36,-950.694,0
37,-183.71900000000022,0
38,-266.15600000000023,0
39,-832.4729999999997,0
40,-424.67499999999995,0
41,-342.4009999999996,0
42,-425.8539999999999,0
43,-982.2619999999991,0
44,-896.5809999999993,0
45,-1284.1589999999987,0
46,-1525.4879999999969,0
47,-966.3509999999987,0
48,-1196.6539999999973,0
49,-820.663,0
50,-1484.1589999999949,0
51,-184.2199999999998,0
52,-1186.857,0
53,-353.4139999999998,0
54,-1009.2099999999996,0
55,-907.5699999999991,0
56,-456.39199999999977,0
57,-617.258,0
58,-1522.0599999999954,0
59,-161.43200000000016,0
60,-871.3479999999989,0
61,-675.0699999999994,0
62,-797.8839999999982,0
63,-849.4269999999999,0
64,-517.8410000000005,0
65,-1278.7179999999987,0
66,-566.2530000000004,0
67,-782.3409999999991,0
68,-993.3129999999983,0
69,-1095.9009999999944,0
70,-554.038,0
71,-682.8570000000008,0
72,-634.6130000000005,0
73,-1191.8249999999987,0
74,-768.1789999999996,0
75,-343.5879999999996,0
76,-190.90699999999978,0
77,-444.7320000000003,0
78,-166.6150000000001,0
79,-728.798,0
80,-733.9979999999998,0
81,-1479.5909999999965,0
82,-865.8139999999984,0
83,-516.726,0
84,-891.1799999999985,0
85,-1225.749999999995,0
86,-877.8889999999956,0
87,-1204.5989999999977,0
88,-681.1929999999984,0
89,-329.2010000000002,0
90,-495.2089999999999,0
91,-715.4729999999988,0
92,-1315.0909999999985,0
93,-611.9749999999998,0
94,-515.854,0
95,-333.713,0
96,-301.97199999999964,0
97,-1204.8859999999963,0
98,-957.0419999999982,0
99,-1100.2629999999947,0
100,-250.40900000000005,0
101,-1317.8489999999977,0
102,-814.1959999999997,0
103,-1441.9849999999967,0
104,-1708.686999999995,0
105,-719.2580000000005,0
106,-1424.1109999999958,0
107,-1049.7789999999977,0
108,-653.788,0
109,-869.9919999999996,0
110,-683.9639999999999,0
111,-887.5479999999964,0
112,-1442.7949999999928,0
113,-1293.8159999999982,0
114,-613.9090000000008,0
115,-1379.6069999999963,0
116,-1546.2819999999974,0
117,-852.9160000000003,0
118,-830.5649999999993,0
119,-947.6720000000003,0
120,-767.4409999999975,0
121,-838.9690000000003,0
122,-834.0389999999973,0
123,-1120.242999999999,0
124,-775.0809999999996,0
125,-481.2710000000001,0
126,-1121.1379999999951,0
127,-850.5789999999993,0
128,-1256.6409999999992,0
129,-1474.1379999999954,0
130,-1390.4429999999961,0
131,-1364.9859999999967,0
132,-1198.635999999997,0
133,-933.3320000000002,0
134,-594.8980000000007,0
135,-1393.3139999999976,0
136,-1014.6869999999991,0
137,-586.8870000000014,0
138,-672.3870000000002,0
139,-395.023,0
140,-446.6429999999999,0
141,-701.7750000000012,0
142,-206.84800000000004,0
143,-304.5439999999999,0
144,-76.47799999999917,0
145,-751.8839999999999,0
146,-136.9050000000001,0
147,-350.8800000000003,0
148,-752.9330000000006,0
149,-262.40599999999984,0
150,-467.52000000000135,0
151,-327.53899999999965,0
152,-806.0809999999999,0
153,-221.0679999999999,0
154,-260.66999999999985,0
155,-353.03999999999996,0
156,-249.369,0
157,-384.994,0
158,-957.359999999999,0
159,-716.5059999999999,0
160,-986.1239999999981,0
161,-379.88000000000005,0
162,-28.23899999999991,0
163,-187.64400000000015,0
164,-189.55499999999998,0
165,-805.4689999999996,0
166,-497.0970000000007,0
167,-182.66500000000005,0
168,-235.49099999999999,0
169,-320.0539999999999,0
170,-506.98900000000003,0
171,-316.3630000000001,0
172,-271.55099999999993,0
173,-688.296,0
174,-272.2759999999998,0
175,-440.18300000000045,0
176,-996.2029999999985,0
177,-1023.552999999998,0
178,-278.90999999999997,0
179,-274.0070000000005,0
180,-157.19499999999957,0
181,-153.50599999999991,0
182,-210.012,0
183,-860.3329999999995,0
184,-1318.1159999999975,0
185,-1302.3369999999952,0
186,-845.5779999999988,0
187,-1329.3600000000029,0
188,-573.1419999999996,0
189,-979.8129999999985,0
190,-709.6159999999995,0
191,-1304.0839999999994,0
192,-414.62300000000005,0
193,-588.7560000000005,0
194,-122.81000000000057,0
195,-290.0539999999999,0
196,-670.9200000000014,0
197,-198.86899999999991,0
198,-274.62499999999983,0
199,-1308.3279999999957,0
200,-226.0010000000003,0
201,-535.1250000000003,0
202,-1040.8799999999965,0
203,-649.5480000000001,0
204,-469.9309999999996,0
205,-351.6629999999997,0
206,-1106.7609999999956,0
207,-1159.444999999998,0
208,-917.9309999999984,0
209,-822.6419999999987,0
210,-760.479,0
211,-534.8220000000003,0
212,-1013.498999999999,0
213,-497.00600000000014,0
214,-1614.939999999994,0
215,-507.03800000000047,0
216,-520.3980000000001,0
217,-376.9280000000002,0
218,-739.3369999999996,0
219,-368.20200000000085,0
220,-664.2600000000007,0
221,-846.7389999999981,0
222,-1632.2579999999955,0
223,-1287.9569999999956,0
224,-1380.9899999999957,0
225,-1365.1599999999949,0
226,-1093.974999999999,0
227,-1028.7669999999982,0
228,-1000.9479999999992,0
229,-889.5369999999984,0
230,-641.01,0
231,-487.6220000000003,0
232,-730.2259999999999,0
233,-1326.1759999999938,0
234,-1078.2499999999977,0
235,-474.60900000000015,0
236,-1663.9759999999958,0
237,-1330.721999999998,0
238,-1310.3469999999968,0
239,-1222.7869999999941,0
240,-1530.0859999999975,0
241,-1139.011999999999,0
242,-933.9639999999988,0
243,-1305.6729999999973,0
244,-1212.7429999999986,0
245,-1159.545999999998,0
246,-1735.705999999996,0
247,-1100.6079999999965,0
248,-1728.3989999999965,0
249,-1319.6599999999928,0
250,-1477.2009999999937,0
251,-1587.699,0
252,-1286.0499999999972,0
253,-1398.8529999999985,0
254,-1391.2089999999978,0
255,-1245.6950000000004,0
256,-1709.9279999999956,0
257,-1460.0479999999966,0
258,-1503.1339999999993,0
259,-1658.3429999999962,0
260,-1897.8699999999965,0
261,-1579.9770000000003,0
262,-2115.9529999999963,0
263,-1553.953999999998,0
264,-1412.8529999999907,0
265,-1505.167999999995,0
266,-1688.6469999999986,0
267,-1532.2659999999946,0
268,-1722.5739999999878,0
269,-2123.0239999999953,0
270,-1581.1030000000017,0
271,-1397.7299999999989,0
272,-1558.2369999999971,0
273,-1334.4139999999973,0
274,-1592.0079999999994,0
275,-1207.094999999999,0
276,-1570.922999999994,0
277,-1575.3269999999968,0
278,-1497.9319999999966,0
279,-1619.7899999999952,0
280,-1709.3989999999912,0
281,-1558.2929999999926,0
282,-1356.2159999999947,0
283,-1645.2709999999988,0
284,-1483.1169999999956,0
285,-1515.4339999999938,0
286,-2025.141999999995,0
287,-1672.3279999999918,0
288,-1617.763999999996,0
289,-1414.3259999999968,0
290,-1187.4289999999944,0
291,-1430.3089999999925,0
292,-1712.987999999999,0
293,-1233.2339999999956,0
294,-1416.7259999999983,0
295,-1309.7379999999953,0
296,-848.7779999999998,0
297,-1489.4469999999928,0
298,-1135.8899999999999,0
299,-1300.353999999997,0
300,-1727.073999999997,0
301,-1897.7799999999932,0
302,-1042.2499999999945,0
303,-1425.174999999998,0
304,-1501.6840000000002,0
305,-1656.0299999999952,0
306,-1468.7739999999935,0
307,-1109.6729999999948,0
308,-1408.7129999999993,0
309,-1325.499999999996,0
310,-1155.091,0
311,-1490.8059999999898,0
312,-843.4790000000019,0
313,-1502.1339999999943,0
314,-1008.4260000000004,0
315,-763.5710000000006,0
316,-1116.5750000000003,0
317,-1514.2739999999988,0
318,-1239.1709999999966,0
319,-1055.2570000000003,0
320,-1055.3530000000019,0
321,-500.9090000000001,0
322,-651.1940000000002,0
323,-525.6389999999991,0
324,-784.6740000000001,0
325,-743.9679999999985,0
326,-920.8070000000033,0
327,-1482.599999999997,0
328,-406.71,0
329,-1445.5439999999999,0
330,-1391.7899999999936,0
331,-1037.1080000000022,0
332,-1077.4329999999989,0
333,-1302.4619999999975,0
334,-605.5570000000005,0
335,-1536.7529999999977,0
336,-1450.1239999999966,0
337,-1841.5069999999976,0
338,-1769.1979999999976,0
339,-1331.9669999999992,0
340,-858.3279999999978,0
341,-1306.6899999999976,0
342,-1523.7759999999937,0
343,-1100.1249999999993,0
344,-1536.0179999999962,0
345,-1455.0659999999998,0
346,-1745.293999999999,0
347,-1771.5609999999956,0
348,-1454.7729999999997,0
349,-1744.2989999999963,0
350,-1470.0929999999944,0
351,-1790.0599999999934,0
352,-768.6659999999986,0
353,-1310.4749999999974,0
354,-768.7179999999993,0
355,-1593.827999999992,0
356,-774.6650000000002,0
357,-1270.9879999999978,0
358,-1513.1719999999923,0
359,-1410.704999999991,0
360,-1388.7339999999967,0
361,-1356.0029999999952,0
362,-1338.7159999999985,0
363,-1532.8659999999948,0
364,-1401.6409999999928,0
365,-1453.1869999999947,0
366,-1051.3459999999986,0
367,-1227.4009999999992,0
368,-1306.653999999998,0
369,-1421.4869999999976,0
370,-1139.3979999999958,0
371,-1308.9639999999958,0
372,-1012.312999999996,0
373,-1417.602999999996,0
374,-1497.6899999999957,0
375,-1462.3119999999974,0
376,-1381.0189999999957,0
377,-1333.8639999999953,0
378,-1028.279999999996,0
379,-1372.2659999999976,0
380,-1305.9359999999972,0
381,-1170.678999999997,0
382,-1118.559999999998,0
383,-1244.5629999999971,0
384,-1573.9029999999946,0
385,-1863.6409999999948,0
386,-1142.776000000001,0
387,-1673.7239999999956,0
388,-1561.393999999998,0
389,-972.302999999999,0
390,-1260.6549999999943,0
391,-1098.2479999999978,0
392,-1088.079999999996,0
393,-1312.9859999999937,0
394,-838.5089999999993,0
395,-1099.3549999999982,0
396,-1169.465999999997,0
397,-1394.8819999999962,0
398,-1317.7899999999959,0
399,-1302.790999999998,0
400,-1374.6789999999985,0
401,-1522.0879999999966,0
402,-1416.965999999995,0
403,-1215.9519999999989,0
404,-1285.1539999999952,0
405,-1214.6059999999973,0
406,-755.4210000000011,0
407,-1463.495999999997,0
408,-1050.5699999999977,0
409,-1107.9309999999996,0
410,-884.8760000000002,0
411,-1637.296999999995,0
412,-1213.9529999999984,0
413,-1426.8739999999939,0
414,-1134.035999999996,0
415,-1179.3299999999938,0
416,-1531.168999999994,0
417,-1223.6239999999948,0
418,-1358.3719999999958,0
419,-1619.9759999999908,0
420,-1788.280999999995,0
421,-1734.15899999999,0
422,-1451.8160000000007,0
423,-1525.6239999999966,0
424,-1607.9989999999962,0
425,-1685.8359999999984,0
426,-1498.0689999999943,0
427,-1612.485999999997,0
428,-1144.4709999999998,0
429,-1264.0459999999957,0
430,-1361.983999999995,0
431,-1059.3250000000023,0
432,-1659.1969999999887,0
433,-1710.234999999992,0
434,-1366.9879999999969,0
435,-1643.3119999999935,0
436,-1280.4449999999977,0
437,-1219.156999999998,0
438,-1102.968000000002,0
439,-964.4880000000023,0
440,-974.7970000000025,0
441,-1074.832000000001,0
442,-739.2200000000012,0
443,-1143.1029999999998,0
444,-1673.3189999999938,0
445,-1219.7559999999978,0
446,-1193.1660000000002,0
447,-1277.9449999999997,0
448,-1067.9020000000012,0
449,-1373.9089999999976,0
450,-1113.8210000000006,0
451,-1109.601999999999,0
452,-1336.4209999999966,0
453,-1181.456999999997,0
454,-1507.7029999999963,0
455,-1851.5759999999952,0
456,-1524.3689999999986,0
457,-1385.3439999999985,0
458,-1716.883999999992,0
459,-1649.2959999999905,0
460,-1705.844999999994,0
461,-1067.119999999998,0
462,-1947.8799999999915,0
463,-1334.0579999999957,0
464,-1801.4999999999952,0
465,-1089.381999999995,0
466,-782.558,0
467,-1406.602999999999,0
468,-1032.8919999999982,0
469,-1478.914999999994,0
470,-1393.984999999997,0
471,-1652.6909999999948,0
472,-1267.1379999999967,0
473,-1605.3629999999941,0
474,-1250.029999999998,0
475,-1285.3729999999966,0
476,-1085.935999999998,0
477,-1536.3029999999965,0
478,-1329.2719999999981,0
479,-880.8500000000013,0
480,-1034.056000000001,0
481,-1193.643999999999,0
482,-1039.950000000002,0
483,-1059.9720000000016,0
484,-1258.8279999999975,0
485,-1281.9459999999965,0
486,-659.9439999999998,0
487,-964.0509999999985,0
488,-505.60300000000024,0
489,-1511.7259999999958,0
490,-859.5379999999991,0
491,-1137.4439999999984,0
492,-1186.4319999999975,0
493,-1087.7750000000015,0
494,-1203.3229999999985,0
495,-1385.0369999999966,0
496,-1651.4309999999955,0
497,-1023.7430000000031,0
498,-1423.8539999999953,0
499,-885.8640000000028,0
500,-1460.6799999999937,0
501,-644.8689999999998,0
502,-1166.5239999999972,0
503,-859.9439999999988,0
504,-1578.1960000000001,0
505,-689.773,0
506,-967.101,0
507,-1436.3149999999978,0
508,-1395.3589999999983,0
509,-1636.994999999998,0
510,-1028.129999999997,0
511,-1244.4760000000003,0
512,-987.5069999999957,0
513,-1849.0589999999943,0
514,-1706.5519999999935,0
515,-1556.7169999999974,0
516,-1107.7450000000008,0
517,-1779.298999999993,0
518,-1581.4449999999952,0
519,-1051.4039999999989,0
520,-1433.9869999999949,0
521,-1782.3979999999947,0
522,-1267.8359999999957,0
523,-1518.3979999999979,0
524,-1239.1469999999938,0
525,-1266.720999999999,0
526,-1162.5899999999936,0
527,-1038.961999999998,0
528,-1548.4499999999998,0
529,-1706.2549999999906,0
530,-1832.7599999999939,0
531,-1211.321999999997,0
532,-1436.0699999999938,0
533,-1160.952999999998,0
534,-1001.0130000000001,0
535,-1118.5379999999993,0
536,-1350.7269999999942,0
537,-1048.0940000000028,0
538,-544.9599999999998,0
539,-1177.644999999998,0
540,-1089.4459999999958,0
541,-916.0470000000014,0
542,-980.1610000000036,0
543,-767.0830000000016,0
544,-758.8060000000019,0
545,-865.1640000000003,0
546,-1143.7119999999989,0
547,-831.428999999998,0
548,-1261.4739999999983,0
549,-495.3009999999996,0
550,-838.008000000002,0
551,-1295.7569999999976,0
552,-1053.0140000000008,0
553,-1373.5719999999974,0
554,-1728.1749999999963,0
555,-1704.5699999999988,0
556,-1677.84299999999,0
557,-1588.7499999999966,0
558,-1221.8139999999962,0
559,-1291.5239999999978,0
560,-1609.4969999999973,0
561,-1294.308999999996,0
562,-1015.782999999998,0
563,-1603.0809999999935,0
564,-1045.060999999996,0
565,-1584.4759999999956,0
566,-1461.075999999995,0
567,-1317.1079999999936,0
568,-1204.698,0
569,-1253.7039999999974,0
570,-1021.6399999999985,0
571,-999.341999999998,0
572,-1045.3569999999936,0
573,-1156.2759999999982,0
574,-890.0249999999997,0
575,-1038.418,0
576,-1056.2019999999982,0
577,-881.3809999999988,0
578,-1485.9119999999982,0
579,-1243.3890000000001,0
580,-478.60300000000035,0
581,-836.1069999999994,0
582,-342.29700000000037,0
583,-1343.7949999999921,0
584,-835.9129999999991,0
585,-572.8470000000005,0
586,-1046.3819999999992,0
587,-670.4580000000002,0
588,-895.8919999999991,0
589,-1069.5359999999987,0
590,-938.3179999999987,0
591,-1272.6299999999958,0
592,-1383.8909999999987,0
593,-747.548,0
