episode,epsilon,loss,assign,charge,noop,cost_per_order,success_rate,ontime_rate,energy_per_order,n_delivered,n_dropped,depletion_events,episode_return
0,1.0,nan,36,7,2,27.029392857142852,0.5490196078431373,0.8928571428571429,0.30796428571428075,28.0,23.0,8.0,-351.84299999999996
1,0.8390886103705794,14.351752989632743,40,9,4,19.077354838709674,0.7209302325581395,0.9354838709677419,0.29348387096773715,31.0,12.0,8.0,-136.43799999999996
2,0.6274028820538087,10.846754230301956,39,11,8,19.57587096774193,0.7045454545454546,0.9354838709677419,0.31458064516128514,31.0,13.0,8.0,-151.93199999999996
3,0.4351424010585501,8.722730773769014,51,13,9,20.32463414634146,0.5942028985507246,0.9512195121951219,0.2758536585365811,41.0,28.0,8.0,-228.4000000000001
4,0.285607880564032,9.317078232765198,59,17,8,27.641731707317067,0.4606741573033708,0.975609756097561,0.310024390243897,41.0,48.0,8.0,-523.391
5,0.20826882814336947,10.515832416594975,44,15,4,60.20869444444444,0.23076923076923078,0.7777777777777778,0.32258333333332767,36.0,120.0,7.0,-1667.553
6,0.14590259167570602,12.795670099661384,42,14,15,50.50044117647059,0.2809917355371901,0.9411764705882353,0.30632352941176,34.0,87.0,8.0,-1217.1649999999995
7,0.11643985070121858,13.157380930582683,35,3,7,16.803851851851846,0.9,0.9629629629629629,0.30385185185184693,27.0,3.0,8.0,-53.77400000000005
8,0.07379076075438468,11.857119397802668,46,12,33,35.64411764705882,0.39080459770114945,0.8235294117647058,0.3088235294117591,34.0,53.0,8.0,-732.23
9,0.05327239673939179,12.164538904336782,48,16,1,59.09032352941176,0.24285714285714285,0.7941176470588235,0.33149999999999424,34.0,106.0,8.0,-1534.081
10,0.05,11.163310986576658,39,12,81,33.04999999999999,0.4305555555555556,0.967741935483871,0.30483870967741244,31.0,41.0,8.0,-565.3600000000001
11,0.05,9.781650520506359,39,4,62,30.656483870967733,0.4626865671641791,0.9354838709677419,0.3177741935483807,31.0,36.0,8.0,-495.97100000000046
12,0.05,9.612779219945272,39,6,33,31.136161290322573,0.45588235294117646,0.967741935483871,0.3006774193548332,31.0,37.0,8.0,-505.55100000000033
13,0.05,9.816837492443266,38,3,1,26.63306666666666,0.5357142857142857,1.0,0.29973333333332836,30.0,26.0,8.0,-349.002
14,0.05,10.944699456817226,49,12,15,43.23,0.3037037037037037,0.8536585365853658,0.27390243902438505,41.0,94.0,7.0,-1187.58
15,0.05,10.224254492647159,43,3,115,38.09232352941176,0.3655913978494624,0.9705882352941176,0.27761764705881803,34.0,59.0,8.0,-791.2889999999993
16,0.05,10.345224724875557,34,0,2,18.720879999999994,0.8620689655172413,1.0,0.32087999999999456,25.0,4.0,8.0,-93.04199999999999
17,0.05,10.365482643053129,52,2,23,21.95984848484848,0.6111111111111112,0.9696969696969697,0.2810606060606011,33.0,21.0,8.0,-234.9049999999999
18,0.05,10.998160481452942,35,1,0,15.112370370370366,1.0,1.0,0.29755555555555085,27.0,0.0,8.0,-3.034000000000077
19,0.05,10.321838372548422,50,3,22,23.449612903225802,0.5961538461538461,0.9032258064516129,0.3109032258064458,31.0,21.0,8.0,-277.158
20,0.05,9.537756816760913,36,1,0,24.32778571428571,0.6086956521739131,0.9285714285714286,0.31707142857142573,28.0,18.0,8.0,-271.178
