episode,reward,steps,loss
79,-155.444,96,14771.365234375
80,504.488,123,4913.19384765625
81,-325.666,88,29280.291015625
82,974.223,141,7804.68994140625
83,-95.225,79,8484.67578125
84,131.19199999999998,117,5662.47998046875
85,258.377,134,3223.153564453125
86,-144.922,127,12672.8251953125
87,-459.311,80,19234.611328125
88,-204.372,107,6819.7529296875
89,-679.494,72,41652.53515625
90,-270.813,94,34296.82421875
91,6.22100000000002,96,6080.1533203125
92,-203.31100000000004,104,9347.8125
93,457.442,88,10517.2763671875
94,238.35299999999998,123,7481.96240234375
95,864.741,130,8243.0068359375
96,604.242,140,3937.43408203125
97,396.289,130,2507.55712890625
98,-36.989000000000004,110,13371.3701171875
99,61.721,74,7264.95166015625
100,-250.33899999999997,92,13490.9482421875
101,29.798999999999985,97,9426.359375
102,342.061,120,11281.6845703125
103,419.367,126,5466.71728515625
104,-71.51100000000001,96,6771.33935546875
105,-81.904,95,5210.36181640625
106,-113.661,110,6406.5419921875
107,388.917,117,4120.58447265625
108,517.756,139,7075.9482421875
109,-442.09400000000005,84,24962.2890625
110,-893.881,81,36937.8203125
111,-796.0070000000001,79,41658.2265625
112,139.582,104,4499.88525390625
113,-98.287,105,5604.744140625
114,284.078,106,7349.625
115,-787.208,84,41245.14453125
116,-117.224,103,5974.890625
117,629.985,136,4521.20068359375
118,-5.296999999999989,72,11982.267578125
119,-153.814,108,8375.8427734375
120,172.998,121,9693.1494140625
121,84.244,122,2800.25244140625
122,-229.312,111,19656.3046875
123,556.455,117,6185.13330078125
124,373.943,128,5074.861328125
125,76.249,100,2399.494873046875
126,89.329,126,4579.728515625
127,313.17,132,4309.33740234375
128,337.132,117,6270.21044921875
129,513.187,131,2354.724609375
130,190.732,120,7847.9326171875
131,111.186,105,2269.91748046875
132,234.207,134,6308.55615234375
133,-462.14300000000003,114,17707.998046875
134,-372.07,96,9493.6787109375
135,60.745999999999995,106,4951.89501953125
136,907.48,147,5561.13818359375
137,-784.648,72,34770.6640625
138,-445.588,63,28892.4453125
139,-460.105,80,28632.236328125
140,-382.276,103,9216.5654296875
141,104.73199999999999,109,9063.515625
142,296.09,128,5951.259765625
143,-305.74399999999997,102,14200.8642578125
144,60.00099999999999,111,8304.1318359375
145,167.05899999999997,120,2762.724365234375
146,-699.2620000000001,73,29163.876953125
147,-98.412,103,8631.890625
148,165.81799999999998,108,3748.5810546875
149,-40.76500000000002,93,8377.9140625
150,114.877,100,4577.08251953125
151,201.19299999999998,117,5616.6591796875
152,926.4979999999999,153,5593.7265625
153,0.34499999999999653,111,8568.1806640625
154,-353.00100000000003,101,24388.1015625
155,-648.254,98,14678.1181640625
156,-279.146,100,25253.916015625
157,710.16,132,9231.7529296875
158,-374.003,91,16185.689453125
159,-679.696,78,43185.046875
160,-142.7,106,5240.84423828125
161,-228.244,103,12382.423828125
162,-1232.785,68,82278.0390625
163,176.617,101,1968.8580322265625
164,-381.23999999999995,93,24323.099609375
165,-116.248,110,5453.31640625
166,-805.478,76,44399.74609375
167,-398.842,97,13420.3642578125
168,243.629,124,3839.39306640625
169,-64.75800000000001,132,4324.89208984375
170,-491.836,64,31183.322265625
171,222.327,121,3614.143798828125
172,-1200.295,76,75740.6484375
173,-221.644,100,8553.0517578125
174,-126.12299999999998,113,10305.787109375
175,260.25600000000003,122,5447.66845703125
176,-571.539,103,15652.76953125
177,-203.996,96,10514.794921875
178,186.461,117,5235.21728515625
179,-1030.113,71,52006.4921875
180,-144.363,100,5034.64697265625
181,403.119,139,3320.045654296875
182,40.626,133,2646.986083984375
183,-188.557,99,20975.560546875
184,-133.93300000000002,122,6475.7255859375
185,559.429,117,12193.2041015625
186,546.996,142,3880.87060546875
187,-133.36,96,8488.4345703125
188,539.824,124,5987.8544921875
189,333.99,111,4347.1953125
190,-452.616,66,26780.412109375
191,98.05399999999999,125,10153.0625
192,-923.276,61,62865.3671875
193,-669.633,78,27511.978515625
194,-299.522,96,9489.009765625
195,-795.233,71,33663.78515625
196,-290.714,104,10321.9453125
197,-539.856,93,12983.5283203125
198,92.44599999999998,118,5614.05078125
199,-345.447,87,10334.1591796875
200,704.28,131,5173.0400390625
201,-507.00100000000003,93,28543.158203125
202,-412.224,88,16629.76171875
203,31.686999999999998,111,5336.91748046875
204,-143.66799999999998,98,12506.3779296875
205,-659.146,81,26538.56640625
206,-133.10399999999998,98,16293.48046875
207,209.325,146,4236.05029296875
208,-265.16700000000003,97,8042.88427734375
209,-933.09,83,36398.44921875
210,-202.682,79,15006.5146484375
211,881.73,154,5032.0791015625
212,1124.437,144,8662.224609375
213,201.96099999999998,110,5587.93212890625
214,241.085,116,3909.40966796875
215,1122.626,139,9276.30078125
216,-841.649,77,58177.1328125
217,542.35,111,3941.92529296875
218,-457.723,77,18367.876953125
219,265.69599999999997,124,2965.340576171875
220,889.867,155,5954.3173828125
221,-463.78000000000003,97,11377.6650390625
222,305.183,111,3751.040771484375
223,1175.192,155,7143.73583984375
224,362.147,119,2716.397216796875
225,-4.42300000000001,98,4768.1298828125
226,184.795,121,7761.98388671875
227,-343.185,99,12015.6357421875
228,-193.568,107,9318.5283203125
229,604.777,138,3791.998779296875
230,16.89399999999999,105,4126.080078125
231,427.81399999999996,134,4325.06396484375
232,539.845,136,3559.3583984375
233,185.87800000000001,130,2329.78662109375
234,-541.0939999999999,84,18508.916015625
235,647.283,125,3630.688232421875
236,-228.676,112,9689.23046875
237,137.606,106,5715.36279296875
238,-469.742,88,13273.97265625
239,70.851,120,3671.080078125
240,148.91299999999998,121,2122.35498046875
241,315.662,143,2801.486572265625
242,94.05399999999999,114,4680.0771484375
243,157.132,113,4910.859375
244,580.529,137,3891.490966796875
245,-347.444,87,11701.2646484375
246,-1073.672,66,60800.20703125
247,326.13,122,1734.29345703125
248,-1302.752,67,97964.8125
249,-459.064,102,10066.6806640625
250,-281.021,42,30642.103515625
251,-503.422,90,24178.44140625
252,435.876,126,4247.55615234375
253,1203.042,156,8755.6083984375
254,-555.611,111,10822.5771484375
255,137.80599999999998,111,4633.50830078125
256,39.02899999999998,106,3629.766845703125
257,-384.553,91,14670.3681640625
258,103.70399999999998,126,3036.946044921875
259,-801.02,79,40656.7890625
260,326.41499999999996,127,3644.397216796875
261,-166.853,95,13219.7509765625
262,196.273,119,4103.3720703125
263,-255.239,91,17494.736328125
264,-373.758,105,10132.6669921875
265,-79.98000000000002,109,10838.552734375
266,383.426,123,6317.99658203125
267,-964.811,71,58361.0546875
268,115.65100000000001,102,1560.345703125
269,736.74,136,5385.6416015625
270,-271.983,99,5308.28369140625
271,-228.996,101,6751.9013671875
272,-65.22400000000002,115,9997.115234375
273,-382.81199999999995,93,10823.9072265625
274,246.023,146,4779.39208984375
275,44.39799999999998,104,4402.70166015625
276,-617.835,93,30439.037109375
277,282.328,126,5434.21923828125
278,928.8489999999999,143,5970.00390625
279,369.59499999999997,115,6056.93798828125
280,206.62,135,3096.813232421875
281,142.961,109,4962.501953125
282,82.008,117,5108.4580078125
283,541.896,136,4037.303955078125
284,-199.50699999999998,100,8364.005859375
285,620.773,153,5044.09619140625
286,587.3,129,4817.07958984375
287,-179.326,97,7866.65380859375
288,236.49099999999999,114,2291.286865234375
289,-177.20300000000003,129,7819.6904296875
290,985.063,148,6692.2822265625
291,-431.223,93,12098.439453125
292,64.46700000000001,110,6218.21533203125
293,165.661,127,8607.7578125
294,84.272,115,3220.690185546875
295,-1022.575,54,87489.7109375
296,-472.09999999999997,104,11513.0908203125
297,-848.3380000000001,56,61048.26953125
298,610.67,136,3769.29833984375
299,684.792,120,4821.794921875
300,194.06799999999998,122,6031.3779296875
301,-292.158,95,6543.65966796875
302,784.908,140,6253.00146484375
303,-859.091,85,35124.70703125
304,-124.735,116,5248.9423828125
305,-190.977,93,8742.5498046875
306,-742.3340000000001,64,37786.17578125
307,-279.245,93,21959.5
308,-479.57300000000004,86,27714.923828125
309,-288.10499999999996,96,6668.0986328125
310,119.91899999999998,108,7104.70458984375
311,337.745,124,3922.628662109375
312,548.9979999999999,127,3846.674072265625
313,-126.558,115,4474.1494140625
314,-371.375,102,11536.65625
315,-51.17800000000002,116,3833.6416015625
316,-244.38500000000002,109,6041.392578125
317,-325.419,73,18375.630859375
318,-69.651,90,11129.001953125
319,-196.838,115,5349.45947265625
320,345.322,138,3798.2021484375
321,65.308,117,9192.0595703125
322,-873.552,74,36273.171875
323,-592.583,88,19472.1796875
324,-351.795,105,9995.947265625
325,666.881,135,3427.380859375
326,-289.662,93,9831.2607421875
327,-487.42900000000003,45,37800.82421875
328,-645.119,68,43762.1484375
329,-44.51300000000001,102,8755.6826171875
330,-678.353,81,22117.13671875
331,-475.898,87,17645.337890625
332,-371.707,119,8020.0888671875
333,11.653999999999995,104,4512.94287109375
334,576.749,138,2969.8974609375
335,-390.19199999999995,92,11136.62890625
336,390.81,131,9364.921875
337,895.311,149,5031.32177734375
338,653.58,135,3187.8427734375
